362.49,364.57,366.66
346.59,331.47,316.34
326.69,290.36,254.03
324.66,284.99,245.33
344.48,323.33,302.18
338.47,310.01,281.56
358.84,349.47,340.09
355.61,341.7,327.8
372.39,373.97,375.55
370.22,368.35,366.49
391.14,408.91,426.68
405.35,436.04,466.73
376.09,376.25,376.41
380.37,383.54,386.7
387.78,397.09,406.39
376.73,373.72,370.7
379.44,377.87,376.31
395.48,408.69,421.91
389.54,395.54,401.54
410.69,436.6,462.5
404.93,423.81,442.7
412.88,438.47,464.05
383.74,378.93,374.13
386.37,382.96,379.54
393.29,395.56,397.82
383.16,374.04,364.93
386.23,378.96,371.69
402.86,410.99,419.11
400.38,404.8,409.22
400.31,403.42,406.53
412.21,426,439.79
403.22,406.81,410.39
404.42,407.98,411.54
408.4,414.72,421.04
413.48,423.67,433.87
414.14,423.78,433.43
416.92,428.14,439.36
410.66,414.41,418.15
409.5,410.89,412.27
404.31,399.3,394.3
426.11,441.72,457.33
433.5,455.3,477.1
427.75,442.61,457.46
419.15,424.21,429.28
419.57,423.88,428.18
444.51,472.57,500.63
437.93,458.24,478.55
441.17,463.54,485.91
433.62,447.27,460.92
435.74,450.33,464.92
429.88,437.46,445.03
418.28,413.08,407.88
421.42,418.19,414.97
420.4,415.01,409.61
428.85,430.74,432.63
445.78,463.46,481.13
444.01,458.76,473.5
427.32,424.23,421.15
409.24,386.93,364.61
418.77,404.83,390.9
427.42,420.99,414.56
437.13,439.28,441.43
443.89,451.67,459.45
433.62,430,426.37
433.17,427.95,422.74
429.49,419.47,409.46
431.27,421.92,412.56
414.98,388.21,361.44
435.83,428.79,421.74
430.35,416.71,403.08
424.07,403.04,382
415.91,385.61,355.3
421.27,395.22,369.16
425.51,402.59,379.67
439.83,430.13,420.42
426.09,401.55,377
444.41,437.08,429.75
436.81,420.79,404.77
441.55,429.19,416.82
434.92,414.82,394.72
431.11,406.11,381.12
446.89,436.59,426.3
433.99,409.7,385.42
428.62,397.9,367.17
458.64,456.84,455.05
460.61,459.72,458.83
441.9,421.23,400.56
458.55,453.45,448.35
456.9,449.08,441.27
453.26,440.73,428.21
451.52,436.2,420.88
449.05,430.19,411.33
465.94,462.91,459.88
475.99,481.96,487.93
474.35,477.63,480.91
484.58,497.03,509.49
483.58,493.98,504.39
473.49,472.76,472.03
484.83,494.4,503.98
476.1,475.91,475.72
