  248.141  245.768  249.189
  252.481  251.661  253.775
  251.439  244.501  248.054
  247.305  248.130  212.910
  250.080  251.147  248.540
  251.651  242.014  232.335
  251.811  246.403  227.460
  249.613  246.545  230.705
  252.965  247.504  228.717
  249.841  237.890  244.572
  250.224  242.547  228.865
  249.099  239.966  232.928
  250.399  242.854  234.391
  248.146  254.690  255.818
  252.483  255.430  255.293
  251.438  253.989  255.476
  247.309  254.122  253.261
  250.087  255.024  255.158
  251.650  253.242  254.829
  251.816  253.839  252.859
  249.620  253.758  253.934
  252.965  253.535  253.508
  249.847  251.171  253.046
  250.224  252.470  252.474
  249.104  251.951  253.251
  250.403  251.929  252.681
