  250.465  236.430  237.187
  253.762  241.178  246.414
  250.044  229.953  251.938
  246.430  246.625  236.179
  248.678  243.489  223.722
  245.982  230.220  237.756
  249.935  240.343  242.446
  244.428  252.843  218.182
  249.915  242.312  241.820
  252.939  238.556  230.968
  251.133  237.148  235.213
  247.117  236.849  230.578
  253.723  250.664  247.246
  250.470  252.280  255.756
  253.759  252.847  255.090
  250.046  250.047  255.276
  246.425  254.329  254.977
  248.675  253.521  254.038
  245.980  249.879  254.336
  249.930  252.010  254.788
  244.429  254.676  252.493
  249.909  252.521  254.324
  252.941  251.590  253.388
  251.137  251.323  253.430
  247.119  250.946  253.050
  253.720  253.549  253.531
