  250.218  248.031  244.471
  251.973  248.172  246.661
  252.263  247.309  246.497
  251.728  243.730  245.247
  246.890  235.401  239.157
  254.210  252.664  247.023
  250.885  252.960  232.971
  253.235  240.074  243.063
  245.137  245.721  246.588
  251.520  247.068  241.480
  253.689  219.791  235.654
  246.265  229.094  231.550
  245.053  243.178  244.710
  250.217  255.041  255.832
  251.974  254.663  255.705
  252.257  254.628  255.104
  251.730  253.925  255.193
  246.884  251.759  254.298
  254.207  255.072  254.919
  250.889  254.610  254.222
  253.235  252.291  254.316
  245.140  253.364  253.805
  251.519  253.310  253.992
  253.685  245.546  253.314
  246.262  247.519  253.156
  245.052  252.211  253.185
