  253.047  250.757  236.557
  252.869  246.861  236.671
  253.585  240.197  241.082
  235.026  247.561  244.077
  251.209  240.620  231.643
  245.104  251.792  250.621
  252.216  249.759  253.385
  254.622  236.450  220.455
  250.645  242.939  252.529
  239.045  247.714  243.136
  249.063  243.189  246.332
  251.786  248.305  230.432
  250.618  243.143  239.553
  253.043  255.480  255.461
  252.865  254.590  255.070
  253.583  253.218  255.435
  235.024  254.299  255.114
  251.205  253.125  254.649
  245.100  254.984  254.874
  252.211  254.148  254.087
  254.619  251.430  252.848
  250.641  253.112  253.655
  239.045  253.223  253.912
  249.059  252.404  253.987
  251.781  253.339  253.129
  250.622  251.527  253.282
